Loss,Accuracy,Validation Loss,Validation Accuracy
Sigmoid
Over All Time,67.94746708869934
Loss,1.421952486038208,1.1949193477630615
Accuracy,0.3122624158859253,0.3767014145851135
Val_Loss,1.3884732723236084,0.9667343497276306
Val_Accuracy,0.17476406693458557,0.6794826984405518
Relu
Over All Time,63.774085521698
Loss,1.4487056732177734,1.3245198726654053
Accuracy,0.30809319019317627,0.3159411549568176
Val_Loss,1.5265146493911743,1.6231800317764282
Val_Accuracy,0.17476406693458557,0.17476406693458557
Selu
Over All Time,63.59271502494812
Loss,1.578080654144287,0.3016735911369324
Accuracy,0.6930104494094849,0.887369692325592
Val_Loss,0.16106712818145752,0.15432557463645935
Val_Accuracy,0.9412792921066284,0.9395316243171692
Gelu
Over All Time,64.6655924320221
Loss,1.5700478553771973,1.0616105794906616
Accuracy,0.3357449471950531,0.44242796301841736
Val_Loss,1.1675058603286743,1.1524654626846313
Val_Accuracy,0.6588605642318726,0.30653616786003113
Tanh
Over All Time,63.787415504455566
Loss,1.390390396118164,1.1295582056045532
Accuracy,0.37222564220428467,0.38779890537261963
Val_Loss,1.0096298456192017,0.6730016469955444
Val_Accuracy,0.6176162362098694,0.6438308358192444
Linear
Over All Time,64.29987144470215
Loss,2.759103536605835,0.2951144576072693
Accuracy,0.8039852976799011,0.9160637855529785
Val_Loss,0.3651660084724426,0.3089081645011902
Val_Accuracy,0.9143655896186829,0.9203075766563416
Hard_Sigmoid
Over All Time,103.93114280700684
Loss,1.4684103727340698,1.3489786386489868
Accuracy,0.30269771814346313,0.3011649250984192
Val_Loss,1.7122292518615723,1.7084819078445435
Val_Accuracy,0.17476406693458557,0.17476406693458557
